package,version
alsa-tools,1.2.2-1
alsa-utils,1.2.3-2
amd-ucode,20200721.2b823fc-1
amdgpu-pro-libgl,19.30_934563-1
amf-amdgpu-pro,19.30_934563-1
autoconf,2.69-7
automake,1.16.2-3
base,2-2
bitwarden,1.19.0-3
cmake,3.18.1-1
conky,1.11.5-4
cronie,1.5.5-1
easytag,2.4.3-3
element-desktop,1.7.3-1
fakeroot,1.24-2
feh,3.4.1-1
firefox,79.0-1
gcc,10.1.0-2
gforth,0.7.3-1
gfxbench,4.0.13-5
gimp,2.10.20-1
git,2.28.0-1
go,2:1.15-1
grub,2:2.04-8
hip-amdgpu-pro,19.30_934563-1
imagemagick,7.0.10.26-1
irssi,1.2.2-3
iwd,1.8-1
jdk-openjdk,14.0.2.u12-1
joyutils,1.6.1-2
lib32-amdgpu-pro-libgl,19.30_934563-1
lib32-gnutls,3.6.14-1
lib32-mesa,20.1.5-1
lib32-opencl-amdgpu-pro-orca,19.30_934563-1
lib32-vkd3d,1.1-2
lib32-vulkan-amdgpu-pro,19.30_934563-1
libb2,0.98.1-1
libretro-beetle-psx-hw,2362-1
libsignal-protocol-c,2.3.3-1
libva-mesa-driver,20.1.5-1
libxft-bgra,2.3.3.r7.7808631e-1
linux,5.7.12.arch1-1
linux-firmware,20200721.2b823fc-1
make,4.3-3
mesa-demos,8.4.0-4
min,1.15.0-2
mpc,0.33-2
mpd,0.21.25-1
mpv,1:0.32.0-4
mtpfs,1.1-4
ncmpcpp,0.8.2-12
neomutt,20200814-1
network-manager-applet,1.18.0-1
networkmanager,1.26.0-1
networkmanager-openvpn,1.8.12-1
nitrogen,1.6.1-3
notification-daemon,3.20.0-4
noto-fonts-emoji,20200720-1
offlineimap,7.3.3-1
openbox,3.6.1-7
opencl-amdgpu-pro-comgr,19.30_934563-1
opencl-amdgpu-pro-dev,19.30_934563-1
opencl-amdgpu-pro-orca,19.30_934563-1
opencl-amdgpu-pro-pal,19.30_934563-1
pasystray,0.7.1-2
picom,8-3
pkgconf,1.7.3-1
pulseaudio,13.0-3
python-mutagen,1.45.1-1
qca,2.3.1-2
qtkeychain,0.10.0-2
ranger,1.9.3-2
redshift,1.12-3
retroarch,1.9.0-1
roct-amdgpu-pro,19.30_934563-1
roct-amdgpu-pro-dev,19.30_934563-1
rofi,1.5.4-2
rsync,3.2.3-1
samba,4.12.3-1
scrot,1.4-1
simple-mtpfs,0.4.0-1
slack-desktop,4.7.0-1
steam,1.0.0.64-1
streamlink-git,1.5.0.r1.g2c1ac27f-1
sudo,1.9.2-1
swift-im,4.0.2-1
systemd-resolvconf,246.1-1
telegram-desktop,2.2.0-2
thunar,1.8.15-1
tidy,5.7.16-2
tint2,16.7-2
tmux,3.1_b-1
transmission-cli,3.00-2
ttf-joypixels,6.0.0-1
ttf-ms-fonts,2.0-12
ttf-sazanami,20040629-11
unrar,1:5.9.4-1
unzip,6.0-14
urlview,0.9-13
vim,8.2.0814-3
vkd3d,1.1-1
vulkan-amdgpu-pro,19.30_934563-1
vulkan-radeon,20.1.5-1
wine,5.14-2
winetricks,20200412-1
xbindkeys,1.8.7-2
xf86-video-amdgpu,19.1.0-2
xf86-video-vesa,2.4.0-3
xorg-bdftopcf,1.1-2
xorg-docs,1.7.1-3
xorg-font-util,1.3.2-2
xorg-fonts-100dpi,1.0.3-7
xorg-fonts-75dpi,1.0.3-7
xorg-fonts-encodings,1.0.5-2
xorg-iceauth,1.0.8-2
xorg-luit,1.1.1-4
xorg-mkfontscale,1.2.1-2
xorg-server,1.20.8-3
xorg-server-common,1.20.8-3
xorg-server-devel,1.20.8-3
xorg-server-xephyr,1.20.8-3
xorg-server-xnest,1.20.8-3
xorg-server-xvfb,1.20.8-3
xorg-server-xwayland,1.20.8-3
xorg-sessreg,1.1.2-2
xorg-setxkbmap,1.3.2-2
xorg-smproxy,1.0.6-3
xorg-x11perf,1.6.1-2
xorg-xbacklight,1.2.3-2
xorg-xcmsdb,1.0.5-3
xorg-xcursorgen,1.0.7-2
xorg-xdpyinfo,1.3.2-4
xorg-xdriinfo,1.0.6-2
xorg-xev,1.2.4-1
xorg-xgamma,1.0.6-3
xorg-xhost,1.0.8-2
xorg-xinit,1.4.1-2
xorg-xinput,1.6.3-2
xorg-xkbcomp,1.4.3-1
xorg-xkbevd,1.1.4-3
xorg-xkbutils,1.0.4-4
xorg-xkill,1.0.5-2
xorg-xlsatoms,1.1.3-2
xorg-xlsclients,1.1.4-2
xorg-xpr,1.0.5-2
xorg-xrandr,1.5.1-2
xorg-xrefresh,1.0.6-2
xorg-xsetroot,1.1.2-2
xorg-xvinfo,1.1.4-2
xorg-xwd,1.0.7-2
xorg-xwininfo,1.1.5-2
xorg-xwud,1.0.5-2
xterm,358-1
yay,9.4.4-1
youtube-dl,2020.07.28-1
zathura,0.4.5-1
zathura-djvu,0.2.9-1
zathura-pdf-mupdf,0.3.5-3
zsh,5.8-1
